ip,status,error,timeTaken
10.0.114.62,success,,31651.79
10.0.124.10,success,,31594.77
10.0.124.88,success,,31595.46
10.0.124.69,success,,31601.34
10.0.76.177,success,,31370.28
10.0.112.22,success,,31658.27
10.0.114.1,success,,31658.70
10.0.121.88,success,,31574.52
10.0.76.12,success,,31387.40
10.0.114.25,success,,31654.31
10.0.77.87,success,,31365.51
10.0.113.79,success,,31668.10
10.0.111.53,success,,31676.23
10.0.77.11,success,,31376.90
10.0.134.67,success,,31560.62
10.0.124.82,success,,31616.90
10.0.76.114,success,,31391.94
10.0.124.95,success,,31619.49
10.0.76.32,failure,Unexpected token '<', "<?xml vers"... is not valid JSON,31398.89
10.0.124.11,success,,31607.81
10.0.113.35,success,,31678.20
10.0.106.94,success,,31705.41
10.0.110.96,success,,31705.11
10.0.106.93,success,,31706.71
10.0.124.9,success,,31621.14
10.0.111.75,success,,31687.30
10.0.111.42,success,,31687.83
10.0.76.9,success,,31406.80
10.0.76.43,success,,31405.33
10.0.110.77,success,,31710.86
10.0.124.19,success,,31626.99
10.0.76.125,success,,31402.60
10.0.76.102,success,,31406.14
10.0.76.13,success,,31414.49
10.0.110.79,success,,31717.43
10.0.76.2,success,,31572.26
10.0.114.59,success,,31677.59
10.0.76.148,success,,31411.84
10.0.111.3,success,,31711.29
10.0.77.45,success,,31404.37
10.0.77.20,success,,31407.21
10.0.32.233,success,,31408.68
10.0.111.25,success,,31712.78
10.0.77.7,success,,31413.44
10.0.113.75,success,,31700.24
10.0.124.73,success,,31653.06
10.0.76.136,success,,31426.88
10.0.76.48,success,,31435.36
10.0.124.94,success,,31660.45
10.0.76.96,success,,31437.34
10.0.77.21,success,,31424.80
10.0.110.87,success,,31746.03
10.0.76.55,success,,31442.78
10.0.77.35,success,,31427.54
10.0.76.28,success,,31448.15
10.0.77.1,success,,31433.17
10.0.113.63,success,,31718.50
10.0.76.108,success,,31448.33
10.0.76.35,success,,31453.91
10.0.75.73,success,,31473.27
10.0.77.42,success,,31436.64
10.0.105.34,success,,31769.03
10.0.76.169,success,,31453.17
10.0.113.54,success,,31733.16
10.0.110.88,success,,31768.15
10.0.76.99,success,,31464.38
10.0.75.9,success,,31494.71
10.0.139.62,success,,31684.68
10.0.76.44,success,,31477.42
10.0.111.12,success,,31762.85
10.0.124.35,success,,31699.50
10.0.77.31,success,,31464.93
10.0.124.58,success,,31704.58
10.0.110.29,success,,31752.96
10.0.76.27,success,,31487.91
10.0.76.37,success,,31489.87
10.0.76.165,success,,31482.58
10.0.71.66,success,,31518.33
10.0.113.85,success,,31762.90
10.0.113.82,success,,31763.78
10.0.77.19,success,,31479.91
10.0.105.32,success,,31811.95
10.0.77.43,success,,31481.86
10.0.111.83,success,,31786.75
10.0.115.6,success,,31773.78
10.0.32.231,success,,31486.30
10.0.77.8,success,,31496.39
10.0.106.71,success,,31820.48
10.0.76.66,success,,31516.46
10.0.77.6,success,,31504.90
10.0.77.37,success,,31503.69
10.0.77.39,success,,31504.20
10.0.124.48,success,,31660.98
10.0.105.35,success,,31846.39
10.0.76.59,success,,31527.64
10.0.76.36,success,,31533.03
10.0.32.86,success,,31537.07
10.0.77.3,success,,31519.56
10.0.108.66,success,,31859.74
10.0.113.66,success,,31811.23
10.0.113.23,success,,31824.19
10.0.113.90,success,,31814.65
10.0.115.46,success,,31807.77
10.0.76.176,success,,31538.84
10.0.106.95,success,,31869.57
10.0.76.173,success,,31546.61
10.0.76.45,success,,31557.57
10.0.124.53,success,,31782.66
